iter	Passed	Remaining
0	20	3008
1	39	2924
2	59	2901
3	80	2922
4	99	2881
5	118	2842
6	137	2808
7	155	2752
8	173	2711
9	190	2666
10	192	2436
11	210	2422
12	227	2401
13	246	2397
14	264	2383
15	284	2379
16	301	2356
17	318	2334
18	335	2310
19	351	2287
20	368	2265
21	386	2246
22	404	2236
23	426	2237
24	452	2260
25	472	2254
26	492	2244
27	510	2222
28	528	2203
29	545	2183
30	565	2171
31	583	2153
32	601	2133
33	620	2117
34	638	2096
35	655	2075
36	672	2053
37	689	2032
38	707	2014
39	724	1991
40	741	1971
41	759	1952
42	776	1931
43	793	1911
44	811	1892
45	828	1872
46	845	1852
47	862	1832
48	880	1814
49	897	1795
50	914	1775
51	931	1754
52	948	1736
53	967	1719
54	984	1700
55	1001	1681
56	1018	1662
57	1035	1642
58	1052	1624
59	1070	1605
60	1088	1588
61	1105	1569
62	1122	1550
63	1140	1532
64	1157	1514
65	1175	1495
66	1192	1477
67	1210	1460
68	1228	1442
69	1245	1423
70	1262	1405
71	1281	1387
72	1298	1369
73	1317	1352
74	1334	1334
75	1352	1317
76	1371	1300
77	1388	1281
78	1405	1263
79	1423	1245
80	1441	1228
81	1459	1210
82	1477	1192
83	1495	1175
84	1513	1157
85	1531	1139
86	1548	1121
87	1565	1102
88	1583	1085
89	1601	1067
90	1624	1053
91	1648	1039
92	1670	1023
93	1689	1006
94	1708	989
95	1727	971
96	1744	953
97	1762	935
98	1779	916
99	1798	899
100	1815	881
101	1833	862
102	1850	844
103	1869	826
104	1886	808
105	1903	790
106	1921	772
107	1938	753
108	1956	735
109	1973	717
110	1990	699
111	2008	681
112	2028	664
113	2047	646
114	2067	629
115	2085	611
116	2104	593
117	2121	575
118	2138	557
119	2156	539
120	2174	521
121	2191	502
122	2208	484
123	2225	466
124	2243	448
125	2263	431
126	2281	413
127	2298	395
128	2316	377
129	2334	359
130	2351	341
131	2368	323
132	2386	305
133	2404	287
134	2421	269
135	2439	251
136	2456	233
137	2474	215
138	2491	197
139	2509	179
140	2527	161
141	2544	143
142	2562	125
143	2580	107
144	2599	89
145	2616	71
146	2634	53
147	2651	35
148	2669	17
149	2687	0
